title,URL,shared,Embedded link
EC  057 SEN 01  audio  037 SEN 03,https://www.youtube.com/watch?v=I65LsAhznwQ,https://youtu.be/I65LsAhznwQ,https://www.youtube.com/embed/I65LsAhznwQ
EC  057 SEN 01  audio  036 SEN 08,https://www.youtube.com/watch?v=TH_9xHY5qNQ,https://youtu.be/TH_9xHY5qNQ,https://www.youtube.com/embed/TH_9xHY5qNQ
CE  M003 ang 1 001  reenact  W014 neu 1 006,https://www.youtube.com/watch?v=usKcQTjRhFM,https://youtu.be/usKcQTjRhFM,https://www.youtube.com/embed/usKcQTjRhFM
CE  W014 con 1 006  reenact  W011 neu 1 005,https://www.youtube.com/watch?v=swWQHPGSmOc,https://youtu.be/swWQHPGSmOc,https://www.youtube.com/embed/swWQHPGSmOc
DE  W014 fea 1 006  audio  W011 fea 1 005,https://www.youtube.com/watch?v=VG9h0sxU5_8,https://youtu.be/VG9h0sxU5_8,https://www.youtube.com/embed/VG9h0sxU5_8
DE  M003 con 1 001  audio  M009 sad 1 004,https://www.youtube.com/watch?v=yY1CUPu1DPI,https://youtu.be/yY1CUPu1DPI,https://www.youtube.com/embed/yY1CUPu1DPI
ED  037 SEN 03  audio  057 SEN 01,https://www.youtube.com/watch?v=6YPzvv15UbY,https://youtu.be/6YPzvv15UbY,https://www.youtube.com/embed/6YPzvv15UbY
EB  100 SEN 03  audio  036 SEN 08,https://www.youtube.com/watch?v=xhzIUdEbFXg,https://youtu.be/xhzIUdEbFXg,https://www.youtube.com/embed/xhzIUdEbFXg
ED  100 SEN 03  audio  037 SEN 03,https://www.youtube.com/watch?v=DCKjS3uC7WM,https://youtu.be/DCKjS3uC7WM,https://www.youtube.com/embed/DCKjS3uC7WM
EC  037 SEN 03  audio  036 SEN 08,https://www.youtube.com/watch?v=5kuyAHuh45E,https://youtu.be/5kuyAHuh45E,https://www.youtube.com/embed/5kuyAHuh45E
CE  W014 fea 1 006  audio  W011 fea 1 005,https://www.youtube.com/watch?v=pSZyG3X7Ots,https://youtu.be/pSZyG3X7Ots,https://www.youtube.com/embed/pSZyG3X7Ots
